gid,section,key,value,links,element_id,element_class,element_tag,parent_id,parent_class,data_url,href,company_gid_from_link
10151,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
9119,meta,url,https://mininghub.com/project-profile?gid=9119,,,,,,,,,
9119,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
9119,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
9119,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
9119,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
9119,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
9119,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10337,meta,url,https://mininghub.com/project-profile?gid=10337,,,,,,,,,
10337,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
10337,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10337,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10337,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10337,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10337,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10546,meta,url,https://mininghub.com/project-profile?gid=10546,,,,,,,,,
10546,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
10546,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10546,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10546,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10546,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10546,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10076,meta,url,https://mininghub.com/project-profile?gid=10076,,,,,,,,,
10076,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
10076,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10076,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10076,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10076,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10076,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7245,meta,url,https://mininghub.com/project-profile?gid=7245,,,,,,,,,
7245,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
7245,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7245,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7245,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7245,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7245,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2586,meta,url,https://mininghub.com/project-profile?gid=2586,,,,,,,,,
2586,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
2586,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2586,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2586,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2586,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2586,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10071,meta,url,https://mininghub.com/project-profile?gid=10071,,,,,,,,,
10071,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
10071,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10071,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10071,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10071,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10071,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5857,meta,url,https://mininghub.com/project-profile?gid=5857,,,,,,,,,
5857,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
5857,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5857,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5857,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5857,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5857,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3193,meta,url,https://mininghub.com/project-profile?gid=3193,,,,,,,,,
3193,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
3193,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3193,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3193,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3193,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3193,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
17765,meta,url,https://mininghub.com/project-profile?gid=17765,,,,,,,,,
17765,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
17765,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
17765,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
17765,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
17765,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
17765,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5924,meta,url,https://mininghub.com/project-profile?gid=5924,,,,,,,,,
5924,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
5924,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5924,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5924,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5924,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5924,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7941,meta,url,https://mininghub.com/project-profile?gid=7941,,,,,,,,,
7941,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
7941,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7941,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7941,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7941,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7941,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
4127,meta,url,https://mininghub.com/project-profile?gid=4127,,,,,,,,,
4127,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
4127,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
4127,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
4127,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
4127,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
4127,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
16822,meta,url,https://mininghub.com/project-profile?gid=16822,,,,,,,,,
16822,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
16822,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
16822,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
16822,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
16822,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
16822,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5205,meta,url,https://mininghub.com/project-profile?gid=5205,,,,,,,,,
5205,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
5205,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5205,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5205,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5205,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5205,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
1907,meta,url,https://mininghub.com/project-profile?gid=1907,,,,,,,,,
1907,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
1907,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
1907,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
1907,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
1907,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
1907,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
9731,meta,url,https://mininghub.com/project-profile?gid=9731,,,,,,,,,
9731,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
9731,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
9731,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
9731,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
9731,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
9731,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5566,meta,url,https://mininghub.com/project-profile?gid=5566,,,,,,,,,
5566,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
5566,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5566,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5566,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5566,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5566,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
546,meta,url,https://mininghub.com/project-profile?gid=546,,,,,,,,,
546,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
546,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
546,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
546,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
546,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
546,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10955,meta,url,https://mininghub.com/project-profile?gid=10955,,,,,,,,,
10955,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
10955,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10955,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10955,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10955,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10955,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
548,meta,url,https://mininghub.com/project-profile?gid=548,,,,,,,,,
548,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
548,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
548,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
548,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
548,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
548,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7725,meta,url,https://mininghub.com/project-profile?gid=7725,,,,,,,,,
7725,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
7725,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7725,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7725,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7725,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7725,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2838,meta,url,https://mininghub.com/project-profile?gid=2838,,,,,,,,,
2838,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
2838,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2838,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2838,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2838,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2838,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
17608,meta,url,https://mininghub.com/project-profile?gid=17608,,,,,,,,,
17608,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
17608,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
17608,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
17608,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
17608,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
17608,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7606,meta,url,https://mininghub.com/project-profile?gid=7606,,,,,,,,,
7606,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
7606,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7606,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7606,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7606,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7606,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
